# 585 violations, regenerated by the removal loop; do not edit by hand
dead-export	app/api/jarvis/_utils.ts	d18bd699
dead-export	app/boolback/components/anatomy-detail.tsx	b019ef0b
dead-export	app/boolback/components/anatomy-pane.tsx	509a320d
dead-export	app/boolback/components/anatomy-pane.tsx	8094aaab
dead-export	app/boolback/components/anatomy-pane.tsx	fc5bad94
dead-export	app/boolback/components/filter-bar.tsx	962b739c
dead-export	app/boolback/components/group-plot.tsx	223ba4a3
dead-export	app/boolback/components/group-plot.tsx	e9a7f0aa
dead-export	app/boolback/components/plot-surface.tsx	75985ecc
dead-export	app/boolback/components/table-pane.tsx	1a889bc2
dead-export	app/boolback/components/table-pane.tsx	b3131373
dead-export	app/boolback/components/truth-strip.tsx	609975b8
dead-export	app/boolback/data/source.ts	6fb06f5b
dead-export	app/boolback/data/source.ts	c20b83d4
dead-export	app/boolback/lib/aggregate.ts	70fc0fc3
dead-export	app/boolback/lib/anatomy.ts	11e7d57c
dead-export	app/boolback/lib/anatomy.ts	19b6ff7c
dead-export	app/boolback/lib/anatomy.ts	1ed57275
dead-export	app/boolback/lib/anatomy.ts	2c1717fd
dead-export	app/boolback/lib/anatomy.ts	5f79aff1
dead-export	app/boolback/lib/anatomy.ts	695f0aea
dead-export	app/boolback/lib/anatomy.ts	8af7f93c
dead-export	app/boolback/lib/anatomy.ts	9ee0c0a5
dead-export	app/boolback/lib/anatomy.ts	a7684c97
dead-export	app/boolback/lib/anatomy.ts	b3a1ee6c
dead-export	app/boolback/lib/anatomy.ts	cf44b0c2
dead-export	app/boolback/lib/anatomy.ts	e88777c6
dead-export	app/boolback/lib/axes.ts	1e2783f0
dead-export	app/boolback/lib/columns.ts	4a195b90
dead-export	app/boolback/lib/export.ts	826e5f1d
dead-export	app/boolback/lib/method-metrics.ts	0311073e
dead-export	app/boolback/lib/method-metrics.ts	110d601f
dead-export	app/boolback/lib/method-metrics.ts	acb39854
dead-export	app/boolback/lib/metrics.ts	25f9c326
dead-export	app/boolback/lib/metrics.ts	d344b94c
dead-export	app/boolback/lib/metrics.ts	e47c1d90
dead-export	app/boolback/lib/metrics.ts	ec63e94e
dead-export	app/boolback/lib/metrics.ts	ed862836
dead-export	app/boolback/lib/parameters.ts	2b4a1b16
dead-export	app/boolback/lib/parameters.ts	3f0bc514
dead-export	app/boolback/lib/parameters.ts	655f0505
dead-export	app/boolback/lib/parameters.ts	71ed0784
dead-export	app/boolback/lib/parameters.ts	8e14da87
dead-export	app/boolback/lib/parameters.ts	b7b828e7
dead-export	app/boolback/lib/parameters.ts	f82193cc
dead-export	app/boolback/lib/spec.ts	e2c9107d
dead-export	app/boolback/lib/split-dims.ts	69abda4e
dead-export	app/boolback/lib/stats.ts	7df3b332
dead-export	app/boolback/lib/stats.ts	e8f031e9
dead-export	app/boolback/lib/trajectories.ts	32ac3ae4
dead-export	app/boolback/lib/trajectories.ts	4f47b369
dead-export	app/boolback/lib/trajectories.ts	c3fe7970
dead-export	app/boolback/lib/trajectories.ts	d451a154
dead-export	app/boolback/lib/types.ts	0ba03548
dead-export	app/boolback/lib/types.ts	11ed66dd
dead-export	app/boolback/lib/types.ts	4975e6d2
dead-export	app/boolback/lib/types.ts	50af9677
dead-export	app/boolback/lib/types.ts	517c93db
dead-export	app/boolback/lib/types.ts	5dd8d6c1
dead-export	app/boolback/lib/types.ts	6ab4de6c
dead-export	app/boolback/lib/types.ts	8226b84e
dead-export	app/boolback/lib/types.ts	9f118816
dead-export	app/boolback/lib/types.ts	a23a2085
